track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
5bK9eYb0elIST8NysxjgGb,When You're Good To Mama,Queen Latifah,Music From The Miramax Motion Picture Chicago,2001-01-01,46,199733,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,"musicals, east coast hip hop",56,238850,46,,138
6ig2r8kFzCLLRbF6t7cli3,Cell Block Tango,Catherine Zeta-Jones,Music From The Miramax Motion Picture Chicago,2001-01-01,54,442733,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,50,21962,54,,138
5xuT9s2Dea3Q7LfJZbfkn6,All I Care About,Richard Gere,Music From The Miramax Motion Picture Chicago,2001-01-01,38,228200,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,36,3209,38,,138
2VpCSXXc3c1tcnKECvmb55,We Both Reached For The Gun,Christine Baranski,Music From The Miramax Motion Picture Chicago,2001-01-01,55,238000,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,66,19814,55,,138
4hbXcjRmWiBQbLwTxbUlOp,Roxie,Renée Zellweger,Music From The Miramax Motion Picture Chicago,2001-01-01,44,200293,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,47,18086,44,,138
3K7Lc2mm91iHyd7EhQsfXY,I Can't Do It Alone,Catherine Zeta-Jones,Music From The Miramax Motion Picture Chicago,2001-01-01,37,230160,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,50,21962,37,,138
7yeFo88xp6rpfqGe1krqji,Mister Cellophane,John C. Reilly,Music From The Miramax Motion Picture Chicago,2001-01-01,38,237706,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,44,13768,38,,138
4J1frZ39lhXTLV5usURBql,Razzle Dazzle,Richard Gere,Music From The Miramax Motion Picture Chicago,2001-01-01,39,225493,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,36,3209,39,,138
11cNYPovYdoJdlRVnQo1Mi,Nowadays (Roxie),Renée Zellweger,Chicago - Music From The Miramax Motion Picture,2002-11-08,46,134400,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,47,18086,46,,182
5uryqFuYGHHMkEFQGHoCsU,Funny Honey,Renée Zellweger,Chicago - Music From The Miramax Motion Picture,2002-11-08,51,219306,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,47,18086,51,,182
6Do8mrCwUusdtWTSh5EHli,All I Care About,Richard Gere,Chicago - Music From The Miramax Motion Picture,2002-11-08,48,228200,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,36,3209,48,,182
3nAuX0TA8yhqsPDHO8ybFe,All That Jazz,Chicago Ensemble (1997),Chicago The Musical (New Broadway Cast Recording (1997)),1997-01-27,55,305466,False,Chicago The Musical,3w7nHjgYab7rXRGix5AdIb,Chicago,musicals,36,1215,55,,184
10QGhgqQm0I2Y9maxrM7T6,Jack Your Body - 1986 Club Mix,"Steve ""Silk"" Hurley",Jack Your Body (S&S Reloaded),2016-03-11,45,306231,False,Old School Chicago House Music,6jUmmuExsQgw4UH7iXQVZp,Chicago,"chicago house, acid house, hip house",38,9643,45,,185
51GEHfWZuwIg5XHY50XSyS,I'll House You,Jungle Brothers,Straight Out The Jungle,1988,44,297168,False,Old School Chicago House Music,6jUmmuExsQgw4UH7iXQVZp,Chicago,"jazz rap, hip house, old school hip hop, east coast hip hop, acid house, chicago house",44,190892,44,,185
1SShxVVBeZBCY7WddnksPz,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,Surprise,1991-01-01,74,451826,False,Old School Chicago House Music,6jUmmuExsQgw4UH7iXQVZp,Chicago,,67,188809,74,,184
2lkWQI5B1sjWEGTJ9Qkug6,Got The Bug - Dub,Pierre's Pfantasy Club,G.T.B. (Got the Bug) [Remastered],2013-09-02,0,295291,False,Old School Chicago House Music,6jUmmuExsQgw4UH7iXQVZp,Chicago,"chicago house, acid house, hip house, acid techno",14,2512,0,,0
