track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,Dr. Dre,2001,1999-11-16,83,161506,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap",82,14507793,83,,184
1jG29zp5Xmo9PdDdf1b6mO,Face Down,Mustard,10 Summers,2014-08-11,49,267226,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,,73,1747108,49,,180
1ZX8sOGnVyE5FZBh1oKzZa,I Just Wanna Party,YG,My Krazy Life (Deluxe),2014-01-01,0,212253,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,,76,3462812,0,,0
4YtoipFgf4k0AfD17ZfD5X,"Nuthin' But A ""G"" Thang",Dr. Dre,The Chronic,1992-12-15,5,238466,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap",82,14507793,5,,0
4PmMVdIFpJTB9WQbmILf4p,How We Do,The Game,The Documentary,2005,78,235533,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"west coast hip hop, gangster rap, hip hop",73,5114414,78,,183
1tdc73ozehKPyRWRKs0lja,BPT,YG,My Krazy Life (Deluxe),2014-01-01,0,128013,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,,76,3462812,0,,0
4ISIMO6EMPq9auijVz0MoB,Put You On The Game,The Game,The Documentary / Doctor's Advocate,2009-01-01,0,254133,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"west coast hip hop, gangster rap, hip hop",73,5114414,0,,0
1ffT2FC35n20u3TWyoomXP,Why You Always Hatin?,YG,Why You Always Hatin?,2016-05-22,0,198346,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,,76,3462812,0,,0
38soOabhF8UVIIN0AWajJm,Westside Story,The Game,The Documentary / Doctor's Advocate,2009-01-01,0,223066,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"west coast hip hop, gangster rap, hip hop",73,5114414,0,,0
1heUTaryu6xDcGk7NJLVnF,Real Muthaphuckkin G's,Eazy-E,It's On (Dr. Dre) 187um Killa,1993-10-25,0,332626,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"gangster rap, old school hip hop, west coast hip hop, g-funk",67,6902082,0,,0
3jGnPHFrBCTdtEXbfweXgH,Dope Boys,The Game,LAX,2008-01-01,0,240506,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"west coast hip hop, gangster rap, hip hop",73,5114414,0,,0
3Q9QGamJUf6y6DU0MJ8jBd,Who Ride Wit Us,Kurupt,Tha Streetz Iz A Mutha (Digitally Remastered),2012-10-24,51,261173,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"g-funk, west coast hip hop, gangster rap, old school hip hop",64,764305,51,,185
0LFcFGLYTX6UmeIdO7NVd7,Ali Bomaye,The Game,Jesus Piece (Deluxe),2012-01-01,65,372706,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"west coast hip hop, gangster rap, hip hop",73,5114414,65,,165
3YLrUBLLRGUEY1URhbtiLK,Smooth Sailin',Roscoe,Young Roscoe Philaphornia,2003-01-01,41,237013,True,Los Angeles Rap,6fAL0j7d6ajQ3vJtm0l6DK,Los Angeles,"g-funk, west coast hip hop",31,33015,41,,183
