track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z,The Blueprint 3,2009-09-08,86,276920,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"hip hop, east coast hip hop, rap",86,10108968,86,,184
1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,70,212600,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,99,139598052,70,,183
3E7dfMvvCLUddWissuqMwr,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,85,202066,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,86,26136332,85,,181
2fQxE0jVrjNMT9oJAXtSJR,Domino,Jessie J,Who You Are (Platinum Edition),2011-01-01,81,231840,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,75,12111961,81,,180
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,83,231240,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,86,26136332,83,,185
0K2WjMLZYr09LKwurGRYRE,"Theme From New York, New York - 2008 Remastered",Frank Sinatra,Nothing But The Best (2008 Remastered),2008-05-13,72,204906,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"christmas, big band, adult standards, swing music, vocal jazz, jazz",79,8156356,72,,184
557un1HgwYMuqfWGSTmnxw,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE - Platinum Edition,2008,74,192586,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,89,40535481,74,,145
5Bl60xe1GByMVQ612UaXzr,You Don't Have To Be Alone,Summerdrive,You Don't Have To Be Alone,2019-08-30,0,228106,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,36,8502,0,,0
2niK0GWQ5Czoc9hyibNs4c,YOU M4KE ME,Jan Metternich,YOU M4KE ME,2023-06-09,52,126666,True,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,57,27869,52,,185
3FNy4yzOhHhFBeA5p4ofoq,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",2011-10-21,75,207346,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap",85,15038958,75,,185
3I4kDXddQTe6VpRs5mmgca,I've Seen The Future,Apollo Sound System,I've Seen The Future,2025-05-08,34,168136,False,New York Vibes 🗽✨🚁,2Gi67WWr7r5rfi3RTEv6Pa,New York,,17,45,34,,185
